epoch;W;Y;E
22;"(0.374722; -1.259405; 2.239836; -0.373648; 0.495872)";"(0.591140; 0.707446; 0.513464; 0.617690; 0.930498; 0.957992; 0.902388; 0.940600; 0.307235; 0.420462; 0.216830; 0.306471; 0.772016; 0.850306; 0.705153; 0.807275)";1.29279541522
23;"(0.380819; -1.294162; 2.288749; -0.384348; 0.506854)";"(0.592599; 0.710970; 0.512097; 0.619003; 0.934039; 0.960590; 0.906252; 0.943586; 0.300729; 0.415863; 0.210125; 0.300720; 0.776179; 0.854613; 0.707562; 0.810662)";1.26535744742
24;"(0.386953; -1.327937; 2.336115; -0.394758; 0.517639)";"(0.594071; 0.714439; 0.510827; 0.620356; 0.937318; 0.962970; 0.909876; 0.946360; 0.294540; 0.411495; 0.203797; 0.295250; 0.780166; 0.858709; 0.709892; 0.813929)";1.23956130842
25;"(0.393108; -1.360789; 2.382036; -0.404906; 0.528234)";"(0.595549; 0.717849; 0.509640; 0.621738; 0.940359; 0.965156; 0.913279; 0.948940; 0.288644; 0.407340; 0.197814; 0.290037; 0.783989; 0.862610; 0.712147; 0.817078)";1.21525397677
26;"(0.399272; -1.392769; 2.426605; -0.414816; 0.538643)";"(0.597031; 0.721201; 0.508525; 0.623140; 0.943185; 0.967166; 0.916479; 0.951344; 0.283019; 0.403379; 0.192145; 0.285058; 0.787657; 0.866327; 0.714327; 0.820115)";1.19230129098
27;"(0.405431; -1.423925; 2.469904; -0.424512; 0.548873)";"(0.598513; 0.724493; 0.507473; 0.624556; 0.945817; 0.969018; 0.919490; 0.953586; 0.277643; 0.399597; 0.186765; 0.280292; 0.791181; 0.869873; 0.716434; 0.823045)";1.17058512822
28;"(0.411576; -1.454301; 2.512011; -0.434012; 0.558930)";"(0.599992; 0.727724; 0.506476; 0.625979; 0.948271; 0.970729; 0.922328; 0.955681; 0.272500; 0.395980; 0.181651; 0.275723; 0.794570; 0.873259; 0.718471; 0.825871)";1.15000106619
29;"(0.417697; -1.483935; 2.552996; -0.443333; 0.568821)";"(0.601466; 0.730894; 0.505525; 0.627403; 0.950563; 0.972312; 0.925006; 0.957639; 0.267573; 0.392515; 0.176782; 0.271335; 0.797831; 0.876495; 0.720441; 0.828599)";1.13045643703
30;"(0.423788; -1.512863; 2.592923; -0.452490; 0.578549)";"(0.602932; 0.734005; 0.504616; 0.628825; 0.952707; 0.973779; 0.927535; 0.959473; 0.262848; 0.389192; 0.172140; 0.267115; 0.800973; 0.879591; 0.722345; 0.831233)";1.11186870093
31;"(0.429842; -1.541120; 2.631851; -0.461496; 0.588123)";"(0.604389; 0.737055; 0.503741; 0.630240; 0.954715; 0.975140; 0.929927; 0.961192; 0.258311; 0.386001; 0.167708; 0.263051; 0.804003; 0.882556; 0.724186; 0.833778)";1.09416408092
32;"(0.435852; -1.568735; 2.669835; -0.470363; 0.597546)";"(0.605836; 0.740045; 0.502897; 0.631645; 0.956600; 0.976405; 0.932191; 0.962806; 0.253950; 0.382932; 0.163471; 0.259131; 0.806927; 0.885398; 0.725968; 0.836238)";1.07727641222
33;"(0.441814; -1.595737; 2.706926; -0.479102; 0.606825)";"(0.607270; 0.742977; 0.502078; 0.633038; 0.958371; 0.977583; 0.934335; 0.964322; 0.249755; 0.379979; 0.159416; 0.255346; 0.809752; 0.888123; 0.727691; 0.838616)";1.06114616833
34;"(0.447724; -1.622154; 2.743168; -0.487721; 0.615965)";"(0.608691; 0.745850; 0.501282; 0.634417; 0.960036; 0.978681; 0.936370; 0.965749; 0.245715; 0.377133; 0.155532; 0.251688; 0.812482; 0.890740; 0.729359; 0.840916)";1.04571963342
35;"(0.453578; -1.648008; 2.778607; -0.496229; 0.624971)";"(0.610098; 0.748667; 0.500504; 0.635780; 0.961605; 0.979707; 0.938301; 0.967093; 0.241821; 0.374389; 0.151806; 0.248148; 0.815124; 0.893255; 0.730974; 0.843143)";1.03094819625
36;"(0.459373; -1.673325; 2.813280; -0.504634; 0.633848)";"(0.611490; 0.751427; 0.499742; 0.637125; 0.963084; 0.980666; 0.940136; 0.968360; 0.238065; 0.371740; 0.148229; 0.244719; 0.817682; 0.895672; 0.732538; 0.845299)";1.01678774537
37;"(0.465107; -1.698124; 2.847226; -0.512941; 0.642600)";"(0.612865; 0.754133; 0.498993; 0.638451; 0.964480; 0.981563; 0.941882; 0.969555; 0.234438; 0.369181; 0.144792; 0.241395; 0.820161; 0.897999; 0.734053; 0.847389)";1.00319814922
38;"(0.470779; -1.722427; 2.880479; -0.521157; 0.651232)";"(0.614225; 0.756784; 0.498255; 0.639757; 0.965800; 0.982404; 0.943544; 0.970685; 0.230934; 0.366706; 0.141486; 0.238171; 0.822565; 0.900240; 0.735522; 0.849414)";0.990142807506
39;"(0.476385; -1.746253; 2.913070; -0.529287; 0.659748)";"(0.615568; 0.759383; 0.497526; 0.641044; 0.967048; 0.983193; 0.945128; 0.971754; 0.227547; 0.364312; 0.138305; 0.235040; 0.824897; 0.902399; 0.736946; 0.851379)";0.977588262762
40;"(0.481926; -1.769620; 2.945030; -0.537336; 0.668154)";"(0.616894; 0.761931; 0.496804; 0.642309; 0.968231; 0.983935; 0.946638; 0.972766; 0.224269; 0.361994; 0.135240; 0.231997; 0.827161; 0.904482; 0.738327; 0.853285)";0.965503862779
41;"(0.487399; -1.792544; 2.976386; -0.545309; 0.676451)";"(0.618202; 0.764428; 0.496088; 0.643554; 0.969351; 0.984632; 0.948079; 0.973725; 0.221095; 0.359747; 0.132286; 0.229039; 0.829361; 0.906492; 0.739668; 0.855136)";0.953861466361
42;"(0.492805; -1.815042; 3.007165; -0.553208; 0.684646)";"(0.619494; 0.766877; 0.495376; 0.644776; 0.970415; 0.985289; 0.949456; 0.974634; 0.218020; 0.357570; 0.129435; 0.226162; 0.831500; 0.908432; 0.740969; 0.856934)";0.942635185962
43;"(0.498143; -1.837129; 3.037391; -0.561037; 0.692740)";"(0.620767; 0.769277; 0.494667; 0.645978; 0.971425; 0.985908; 0.950772; 0.975497; 0.215039; 0.355457; 0.126684; 0.223360; 0.833580; 0.910307; 0.742234; 0.858682)";0.931801161897
44;"(0.503412; -1.858819; 3.067087; -0.568800; 0.700738)";"(0.622023; 0.771631; 0.493960; 0.647158; 0.972385; 0.986491; 0.952031; 0.976317; 0.212148; 0.353406; 0.124026; 0.220631; 0.835605; 0.912120; 0.743462; 0.860381)";0.921337363661
45;"(0.508613; -1.880127; 3.096275; -0.576499; 0.708644)";"(0.623261; 0.773939; 0.493254; 0.648316; 0.973299; 0.987043; 0.953236; 0.977097; 0.209342; 0.351415; 0.121458; 0.217971; 0.837577; 0.913874; 0.744656; 0.862035)";0.911223414591
46;"(0.513746; -1.901064; 3.124975; -0.584138; 0.716459)";"(0.624481; 0.776203; 0.492549; 0.649453; 0.974168; 0.987564; 0.954391; 0.977840; 0.206616; 0.349480; 0.118974; 0.215378; 0.839498; 0.915572; 0.745817; 0.863644)";0.901440436694
47;"(0.518811; -1.921645; 3.153205; -0.591717; 0.724187)";"(0.625684; 0.778424; 0.491844; 0.650569; 0.974997; 0.988057; 0.955498; 0.978547; 0.203969; 0.347599; 0.116570; 0.212848; 0.841371; 0.917216; 0.746947; 0.865211)";0.891970912961
48;"(0.523808; -1.941880; 3.180984; -0.599240; 0.731832)";"(0.626870; 0.780603; 0.491138; 0.651664; 0.975787; 0.988523; 0.956560; 0.979221; 0.201394; 0.345769; 0.114243; 0.210379; 0.843197; 0.918809; 0.748046; 0.866738)";0.882798564866
49;"(0.528738; -1.961781; 3.208329; -0.606708; 0.739396)";"(0.628038; 0.782740; 0.490431; 0.652739; 0.976542; 0.988966; 0.957580; 0.979864; 0.198891; 0.343989; 0.111989; 0.207969; 0.844979; 0.920353; 0.749116; 0.868226)";0.873908243119
50;"(0.533602; -1.981358; 3.235256; -0.614123; 0.746881)";"(0.629189; 0.784838; 0.489723; 0.653793; 0.977262; 0.989385; 0.958560; 0.980478; 0.196455; 0.342256; 0.109804; 0.205614; 0.846719; 0.921850; 0.750159; 0.869677)";0.865285829991
51;"(0.538399; -2.000622; 3.261780; -0.621487; 0.754291)";"(0.630323; 0.786898; 0.489012; 0.654827; 0.977950; 0.989783; 0.959501; 0.981064; 0.194083; 0.340568; 0.107686; 0.203313; 0.848417; 0.923304; 0.751175; 0.871092)";0.856918151787
52;"(0.543131; -2.019582; 3.287915; -0.628801; 0.761627)";"(0.631440; 0.788919; 0.488299; 0.655842; 0.978609; 0.990162; 0.960407; 0.981625; 0.191773; 0.338923; 0.105632; 0.201064; 0.850077; 0.924714; 0.752166; 0.872473)";0.848792900241
53;"(0.547799; -2.038249; 3.313676; -0.636066; 0.768892)";"(0.632541; 0.790904; 0.487584; 0.656838; 0.979239; 0.990521; 0.961278; 0.982161; 0.189522; 0.337321; 0.103638; 0.198865; 0.851698; 0.926084; 0.753132; 0.873822)";0.840898561772
54;"(0.552404; -2.056631; 3.339073; -0.643284; 0.776087)";"(0.633625; 0.792853; 0.486867; 0.657815; 0.979842; 0.990863; 0.962118; 0.982675; 0.187328; 0.335758; 0.101702; 0.196714; 0.853284; 0.927416; 0.754074; 0.875139)";0.833224353678
55;"(0.556945; -2.074737; 3.364121; -0.650456; 0.783216)";"(0.634693; 0.794767; 0.486147; 0.658774; 0.980421; 0.991189; 0.962926; 0.983167; 0.185189; 0.334234; 0.099823; 0.194609; 0.854835; 0.928710; 0.754994; 0.876426)";0.825760166478
56;"(0.561425; -2.092575; 3.388831; -0.657582; 0.790280)";"(0.635745; 0.796647; 0.485424; 0.659715; 0.980975; 0.991499; 0.963706; 0.983638; 0.183102; 0.332746; 0.097996; 0.192549; 0.856352; 0.929968; 0.755893; 0.877684)";0.818496511707
57;"(0.565844; -2.110153; 3.413213; -0.664664; 0.797281)";"(0.636782; 0.798494; 0.484698; 0.660639; 0.981507; 0.991795; 0.964458; 0.984091; 0.181064; 0.331295; 0.096221; 0.190532; 0.857837; 0.931191; 0.756770; 0.878915)";0.81142447457
58;"(0.570204; -2.127478; 3.437278; -0.671702; 0.804221)";"(0.637804; 0.800309; 0.483969; 0.661546; 0.982017; 0.992077; 0.965184; 0.984525; 0.179076; 0.329877; 0.094496; 0.188557; 0.859291; 0.932382; 0.757627; 0.880118)";0.804535670908
59;"(0.574504; -2.144559; 3.461036; -0.678698; 0.811101)";"(0.638810; 0.802093; 0.483238; 0.662436; 0.982508; 0.992346; 0.965885; 0.984941; 0.177133; 0.328493; 0.092817; 0.186622; 0.860715; 0.933542; 0.758465; 0.881296)";0.797822208043
60;"(0.578747; -2.161401; 3.484497; -0.685652; 0.817923)";"(0.639802; 0.803846; 0.482504; 0.663310; 0.982979; 0.992603; 0.966562; 0.985342; 0.175235; 0.327140; 0.091184; 0.184726; 0.862110; 0.934670; 0.759285; 0.882448)";0.791276649065
61;"(0.582933; -2.178013; 3.507669; -0.692565; 0.824689)";"(0.640779; 0.805570; 0.481767; 0.664169; 0.983432; 0.992849; 0.967217; 0.985727; 0.173380; 0.325818; 0.089594; 0.182867; 0.863477; 0.935770; 0.760087; 0.883577)";0.784891980232
62;"(0.587064; -2.194400; 3.530562; -0.699437; 0.831400)";"(0.641742; 0.807264; 0.481028; 0.665012; 0.983868; 0.993083; 0.967850; 0.986097; 0.171567; 0.324526; 0.088047; 0.181045; 0.864818; 0.936841; 0.760871; 0.884683)";0.778661581153
63;"(0.591139; -2.210568; 3.553183; -0.706269; 0.838058)";"(0.642691; 0.808931; 0.480286; 0.665840; 0.984287; 0.993308; 0.968462; 0.986453; 0.169793; 0.323262; 0.086540; 0.179259; 0.866132; 0.937886; 0.761639; 0.885766)";0.772579197473
64;"(0.595161; -2.226524; 3.575540; -0.713061; 0.844664)";"(0.643627; 0.810570; 0.479541; 0.666654; 0.984691; 0.993523; 0.969055; 0.986796; 0.168058; 0.322026; 0.085072; 0.177507; 0.867420; 0.938904; 0.762391; 0.886828)";0.766638915834
65;"(0.599131; -2.242274; 3.597642; -0.719815; 0.851219)";"(0.644548; 0.812183; 0.478794; 0.667455; 0.985080; 0.993729; 0.969629; 0.987127; 0.166361; 0.320816; 0.083641; 0.175788; 0.868685; 0.939897; 0.763128; 0.887869)";0.760835140865
66;"(0.603048; -2.257823; 3.619495; -0.726530; 0.857724)";"(0.645457; 0.813769; 0.478045; 0.668241; 0.985455; 0.993927; 0.970185; 0.987445; 0.164698; 0.319632; 0.082247; 0.174101; 0.869925; 0.940866; 0.763850; 0.888890)";0.75516257403
67;"(0.606916; -2.273176; 3.641106; -0.733208; 0.864182)";"(0.646353; 0.815330; 0.477293; 0.669014; 0.985817; 0.994116; 0.970724; 0.987752; 0.163071; 0.318473; 0.080887; 0.172445; 0.871143; 0.941811; 0.764558; 0.889892)";0.749616194146
68;"(0.610733; -2.288340; 3.662482; -0.739847; 0.870592)";"(0.647237; 0.816867; 0.476540; 0.669775; 0.986165; 0.994297; 0.971247; 0.988048; 0.161477; 0.317338; 0.079561; 0.170820; 0.872339; 0.942734; 0.765252; 0.890875)";0.744191239429
69;"(0.614502; -2.303318; 3.683629; -0.746450; 0.876955)";"(0.648108; 0.818379; 0.475784; 0.670523; 0.986502; 0.994471; 0.971754; 0.988334; 0.159915; 0.316225; 0.078268; 0.169225; 0.873513; 0.943635; 0.765933; 0.891839)";0.738883190916
70;"(0.618224; -2.318116; 3.704553; -0.753016; 0.883274)";"(0.648967; 0.819867; 0.475027; 0.671259; 0.986827; 0.994638; 0.972246; 0.988610; 0.158385; 0.315136; 0.077006; 0.167658; 0.874666; 0.944514; 0.766601; 0.892787)";0.733687757149
71;"(0.621899; -2.332738; 3.725261; -0.759546; 0.889549)";"(0.649815; 0.821333; 0.474268; 0.671983; 0.987141; 0.994799; 0.972724; 0.988877; 0.156884; 0.314068; 0.075775; 0.166119; 0.875799; 0.945374; 0.767257; 0.893717)";0.728600860005
72;"(0.625529; -2.347189; 3.745757; -0.766039; 0.895781)";"(0.650650; 0.822776; 0.473507; 0.672696; 0.987444; 0.994953; 0.973188; 0.989135; 0.155413; 0.313021; 0.074573; 0.164607; 0.876912; 0.946213; 0.767901; 0.894631)";0.723618621576
73;"(0.629113; -2.361473; 3.766047; -0.772498; 0.901970)";"(0.651475; 0.824198; 0.472745; 0.673398; 0.987737; 0.995102; 0.973638; 0.989384; 0.153971; 0.311994; 0.073399; 0.163121; 0.878006; 0.947034; 0.768534; 0.895528)";0.718737352006
74;"(0.632654; -2.375595; 3.786136; -0.778920; 0.908118)";"(0.652288; 0.825598; 0.471981; 0.674089; 0.988021; 0.995244; 0.974076; 0.989625; 0.152556; 0.310987; 0.072253; 0.161662; 0.879081; 0.947836; 0.769155; 0.896411)";0.713953538202
75;"(0.636153; -2.389558; 3.806030; -0.785308; 0.914225)";"(0.653091; 0.826977; 0.471217; 0.674770; 0.988295; 0.995381; 0.974502; 0.989858; 0.151167; 0.309999; 0.071133; 0.160227; 0.880139; 0.948620; 0.769766; 0.897278)";0.709263833351
76;"(0.639609; -2.403367; 3.825733; -0.791661; 0.920293)";"(0.653883; 0.828336; 0.470451; 0.675440; 0.988561; 0.995513; 0.974917; 0.990084; 0.149804; 0.309030; 0.070039; 0.158816; 0.881179; 0.949387; 0.770367; 0.898131)";0.704665047171
77;"(0.643025; -2.417025; 3.845249; -0.797980; 0.926322)";"(0.654665; 0.829675; 0.469685; 0.676101; 0.988818; 0.995641; 0.975320; 0.990302; 0.148466; 0.308078; 0.068970; 0.157429; 0.882202; 0.950137; 0.770957; 0.898970)";0.700154136847
78;"(0.646400; -2.430537; 3.864584; -0.804265; 0.932312)";"(0.655437; 0.830994; 0.468918; 0.676752; 0.989066; 0.995763; 0.975712; 0.990514; 0.147152; 0.307144; 0.067925; 0.156065; 0.883208; 0.950871; 0.771538; 0.899794)";0.695728198575
79;"(0.649737; -2.443905; 3.883741; -0.810515; 0.938265)";"(0.656199; 0.832295; 0.468150; 0.677395; 0.989307; 0.995881; 0.976094; 0.990719; 0.145862; 0.306227; 0.066903; 0.154724; 0.884198; 0.951589; 0.772110; 0.900606)";0.691384459694
80;"(0.653035; -2.457132; 3.902724; -0.816733; 0.944182)";"(0.656951; 0.833577; 0.467382; 0.678028; 0.989541; 0.995995; 0.976467; 0.990918; 0.144595; 0.305325; 0.065904; 0.153404; 0.885172; 0.952291; 0.772672; 0.901405)";0.687120271337
81;"(0.656295; -2.470224; 3.921538; -0.822917; 0.950062)";"(0.657694; 0.834841; 0.466613; 0.678653; 0.989767; 0.996104; 0.976829; 0.991110; 0.143349; 0.304440; 0.064927; 0.152106; 0.886131; 0.952979; 0.773226; 0.902191)";0.682933101569
82;"(0.659519; -2.483182; 3.940187; -0.829068; 0.955906)";"(0.658428; 0.836088; 0.465844; 0.679269; 0.989987; 0.996210; 0.977182; 0.991297; 0.142126; 0.303570; 0.063972; 0.150829; 0.887075; 0.953652; 0.773772; 0.902965)";0.678820528985
83;"(0.662706; -2.496009; 3.958673; -0.835186; 0.961716)";"(0.659152; 0.837317; 0.465075; 0.679877; 0.990200; 0.996312; 0.977527; 0.991479; 0.140923; 0.302715; 0.063037; 0.149571; 0.888004; 0.954312; 0.774309; 0.903727)";0.674780236707
84;"(0.665859; -2.508710; 3.977001; -0.841272; 0.967491)";"(0.659868; 0.838529; 0.464306; 0.680477; 0.990407; 0.996411; 0.977863; 0.991655; 0.139740; 0.301874; 0.062122; 0.148334; 0.888920; 0.954957; 0.774838; 0.904477)";0.670810006781
85;"(0.668977; -2.521286; 3.995174; -0.847326; 0.973232)";"(0.660575; 0.839725; 0.463537; 0.681069; 0.990607; 0.996506; 0.978190; 0.991825; 0.138577; 0.301048; 0.061226; 0.147116; 0.889821; 0.955590; 0.775360; 0.905216)";0.666907714923
86;"(0.672062; -2.533740; 4.013196; -0.853348; 0.978940)";"(0.661274; 0.840904; 0.462769; 0.681654; 0.990802; 0.996598; 0.978510; 0.991991; 0.137434; 0.300235; 0.060350; 0.145917; 0.890709; 0.956210; 0.775874; 0.905944)";0.663071325593
87;"(0.675114; -2.546076; 4.031069; -0.859338; 0.984615)";"(0.661965; 0.842068; 0.462000; 0.682232; 0.990991; 0.996686; 0.978822; 0.992153; 0.136309; 0.299435; 0.059491; 0.144736; 0.891583; 0.956817; 0.776381; 0.906661)";0.659298887383
88;"(0.678133; -2.558297; 4.048797; -0.865296; 0.990259)";"(0.662647; 0.843216; 0.461233; 0.682803; 0.991175; 0.996772; 0.979127; 0.992309; 0.135202; 0.298648; 0.058651; 0.143573; 0.892445; 0.957412; 0.776882; 0.907368)";0.65558852868
89;"(0.681121; -2.570403; 4.066383; -0.871223; 0.995870)";"(0.663322; 0.844349; 0.460465; 0.683367; 0.991353; 0.996855; 0.979424; 0.992462; 0.134113; 0.297874; 0.057828; 0.142428; 0.893294; 0.957995; 0.777375; 0.908065)";0.651938453599
90;"(0.684078; -2.582399; 4.083830; -0.877120; 1.001450)";"(0.663989; 0.845467; 0.459699; 0.683924; 0.991526; 0.996935; 0.979715; 0.992610; 0.133042; 0.297111; 0.057022; 0.141300; 0.894131; 0.958567; 0.777862; 0.908752)";0.648346938162
91;"(0.687005; -2.594286; 4.101140; -0.882985; 1.006999)";"(0.664648; 0.846571; 0.458933; 0.684475; 0.991695; 0.997013; 0.979999; 0.992754; 0.131987; 0.296361; 0.056232; 0.140188; 0.894956; 0.959127; 0.778342; 0.909429)";0.644812326701
92;"(0.689903; -2.606067; 4.118316; -0.888820; 1.012518)";"(0.665300; 0.847660; 0.458168; 0.685020; 0.991859; 0.997088; 0.980276; 0.992894; 0.130948; 0.295622; 0.055458; 0.139093; 0.895769; 0.959677; 0.778817; 0.910097)";0.641333028477
93;"(0.692772; -2.617745; 4.135362; -0.894625; 1.018007)";"(0.665945; 0.848735; 0.457404; 0.685558; 0.992019; 0.997161; 0.980547; 0.993030; 0.129925; 0.294894; 0.054700; 0.138014; 0.896571; 0.960216; 0.779285; 0.910755)";0.637907514497
94;"(0.695612; -2.629321; 4.152279; -0.900399; 1.023467)";"(0.666583; 0.849797; 0.456642; 0.686091; 0.992174; 0.997231; 0.980812; 0.993163; 0.128918; 0.294176; 0.053957; 0.136951; 0.897362; 0.960745; 0.779747; 0.911405)";0.634534314516
95;"(0.698425; -2.640797; 4.169070; -0.906144; 1.028897)";"(0.667214; 0.850845; 0.455880; 0.686618; 0.992325; 0.997299; 0.981072; 0.993292; 0.127926; 0.293470; 0.053228; 0.135903; 0.898141; 0.961264; 0.780204; 0.912045)";0.631212014211
96;"(0.701211; -2.652176; 4.185737; -0.911859; 1.034299)";"(0.667839; 0.851881; 0.455119; 0.687139; 0.992472; 0.997365; 0.981325; 0.993417; 0.126949; 0.292773; 0.052514; 0.134870; 0.898910; 0.961773; 0.780656; 0.912677)";0.627939252513
97;"(0.703971; -2.663460; 4.202284; -0.917545; 1.039672)";"(0.668456; 0.852903; 0.454360; 0.687655; 0.992615; 0.997429; 0.981574; 0.993540; 0.125986; 0.292087; 0.051814; 0.133851; 0.899669; 0.962272; 0.781102; 0.913301)";0.624714719097
98;"(0.706704; -2.674651; 4.218711; -0.923202; 1.045018)";"(0.669068; 0.853913; 0.453603; 0.688166; 0.992754; 0.997491; 0.981816; 0.993659; 0.125038; 0.291410; 0.051127; 0.132847; 0.900417; 0.962762; 0.781542; 0.913916)";0.621537152008
99;"(0.709412; -2.685750; 4.235022; -0.928830; 1.050335)";"(0.669673; 0.854910; 0.452846; 0.688672; 0.992890; 0.997551; 0.982054; 0.993776; 0.124103; 0.290743; 0.050453; 0.131856; 0.901155; 0.963243; 0.781978; 0.914524)";0.618405335418
