epoch;W;Y;E
301;"(1.046730; -4.112017; 6.394316; -1.704833; 1.798438)";"(0.739912; 0.945640; 0.345095; 0.751956; 0.999412; 0.999904; 0.996753; 0.999467; 0.045000; 0.223429; 0.008236; 0.047775; 0.964625; 0.993970; 0.831267; 0.968360)";0.3362839898
302;"(1.047948; -4.117125; 6.402067; -1.707623; 1.801169)";"(0.740147; 0.945842; 0.344732; 0.752179; 0.999417; 0.999905; 0.996773; 0.999472; 0.044832; 0.223223; 0.008181; 0.047597; 0.964758; 0.994010; 0.831425; 0.968477)";0.335583059206
303;"(1.049164; -4.122222; 6.409800; -1.710407; 1.803894)";"(0.740381; 0.946042; 0.344370; 0.752402; 0.999423; 0.999906; 0.996793; 0.999477; 0.044665; 0.223016; 0.008128; 0.047420; 0.964891; 0.994049; 0.831582; 0.968592)";0.33488515578
304;"(1.050377; -4.127308; 6.417517; -1.713185; 1.806614)";"(0.740614; 0.946242; 0.344010; 0.752625; 0.999428; 0.999907; 0.996813; 0.999481; 0.044499; 0.222811; 0.008075; 0.047245; 0.965022; 0.994088; 0.831739; 0.968708)";0.33419025712
305;"(1.051588; -4.132384; 6.425217; -1.715957; 1.809327)";"(0.740847; 0.946441; 0.343651; 0.752847; 0.999433; 0.999908; 0.996832; 0.999486; 0.044335; 0.222606; 0.008022; 0.047070; 0.965153; 0.994127; 0.831896; 0.968822)";0.333498341071
306;"(1.052797; -4.137449; 6.432901; -1.718723; 1.812035)";"(0.741080; 0.946638; 0.343293; 0.753068; 0.999438; 0.999909; 0.996852; 0.999491; 0.044171; 0.222401; 0.007970; 0.046896; 0.965284; 0.994165; 0.832052; 0.968936)";0.332809385721
307;"(1.054003; -4.142504; 6.440568; -1.721482; 1.814737)";"(0.741312; 0.946834; 0.342935; 0.753289; 0.999443; 0.999910; 0.996871; 0.999495; 0.044007; 0.222197; 0.007918; 0.046723; 0.965413; 0.994203; 0.832208; 0.969050)";0.332123369398
308;"(1.055208; -4.147548; 6.448219; -1.724236; 1.817433)";"(0.741543; 0.947030; 0.342579; 0.753510; 0.999448; 0.999911; 0.996890; 0.999499; 0.043845; 0.221994; 0.007866; 0.046551; 0.965542; 0.994240; 0.832363; 0.969162)";0.331440270668
309;"(1.056410; -4.152582; 6.455853; -1.726984; 1.820123)";"(0.741774; 0.947224; 0.342224; 0.753730; 0.999453; 0.999912; 0.996909; 0.999504; 0.043684; 0.221791; 0.007816; 0.046380; 0.965669; 0.994278; 0.832518; 0.969274)";0.330760068329
310;"(1.057610; -4.157606; 6.463471; -1.729725; 1.822807)";"(0.742004; 0.947417; 0.341870; 0.753949; 0.999457; 0.999913; 0.996927; 0.999508; 0.043524; 0.221588; 0.007765; 0.046210; 0.965797; 0.994315; 0.832672; 0.969386)";0.33008274141
311;"(1.058807; -4.162619; 6.471074; -1.732461; 1.825485)";"(0.742233; 0.947609; 0.341517; 0.754168; 0.999462; 0.999914; 0.996946; 0.999512; 0.043364; 0.221387; 0.007715; 0.046041; 0.965923; 0.994351; 0.832826; 0.969496)";0.329408269168
312;"(1.060003; -4.167622; 6.478660; -1.735191; 1.828158)";"(0.742463; 0.947800; 0.341165; 0.754386; 0.999467; 0.999915; 0.996964; 0.999517; 0.043206; 0.221185; 0.007665; 0.045873; 0.966049; 0.994388; 0.832979; 0.969607)";0.328736631079
313;"(1.061196; -4.172615; 6.486230; -1.737915; 1.830825)";"(0.742691; 0.947990; 0.340814; 0.754604; 0.999471; 0.999916; 0.996983; 0.999521; 0.043048; 0.220985; 0.007616; 0.045706; 0.966174; 0.994424; 0.833132; 0.969716)";0.328067806844
314;"(1.062387; -4.177598; 6.493784; -1.740633; 1.833487)";"(0.742919; 0.948179; 0.340465; 0.754821; 0.999476; 0.999917; 0.997001; 0.999525; 0.042891; 0.220785; 0.007567; 0.045539; 0.966298; 0.994460; 0.833285; 0.969825)";0.327401776379
315;"(1.063576; -4.182570; 6.501322; -1.743345; 1.836143)";"(0.743146; 0.948367; 0.340116; 0.755038; 0.999481; 0.999918; 0.997019; 0.999529; 0.042736; 0.220585; 0.007519; 0.045374; 0.966422; 0.994495; 0.833437; 0.969933)";0.326738519813
316;"(1.064762; -4.187533; 6.508845; -1.746051; 1.838793)";"(0.743373; 0.948554; 0.339768; 0.755254; 0.999485; 0.999919; 0.997036; 0.999533; 0.042580; 0.220386; 0.007471; 0.045210; 0.966545; 0.994530; 0.833589; 0.970041)";0.326078017488
317;"(1.065947; -4.192486; 6.516352; -1.748752; 1.841437)";"(0.743600; 0.948740; 0.339421; 0.755470; 0.999490; 0.999920; 0.997054; 0.999537; 0.042426; 0.220187; 0.007423; 0.045046; 0.966667; 0.994565; 0.833740; 0.970148)";0.325420249952
318;"(1.067129; -4.197428; 6.523844; -1.751447; 1.844076)";"(0.743825; 0.948925; 0.339075; 0.755686; 0.999494; 0.999921; 0.997072; 0.999541; 0.042273; 0.219989; 0.007376; 0.044883; 0.966788; 0.994599; 0.833891; 0.970255)";0.32476519796
319;"(1.068310; -4.202361; 6.531320; -1.754136; 1.846710)";"(0.744051; 0.949109; 0.338730; 0.755900; 0.999498; 0.999922; 0.997089; 0.999545; 0.042121; 0.219792; 0.007329; 0.044722; 0.966909; 0.994634; 0.834041; 0.970361)";0.324112842467
320;"(1.069488; -4.207284; 6.538781; -1.756820; 1.849338)";"(0.744275; 0.949291; 0.338387; 0.756115; 0.999503; 0.999923; 0.997106; 0.999549; 0.041969; 0.219595; 0.007283; 0.044561; 0.967029; 0.994668; 0.834191; 0.970466)";0.32346316463
321;"(1.070664; -4.212197; 6.546226; -1.759498; 1.851960)";"(0.744500; 0.949473; 0.338044; 0.756328; 0.999507; 0.999923; 0.997124; 0.999553; 0.041818; 0.219399; 0.007237; 0.044401; 0.967149; 0.994701; 0.834341; 0.970571)";0.322816145799
322;"(1.071838; -4.217101; 6.553656; -1.762170; 1.854577)";"(0.744723; 0.949654; 0.337702; 0.756542; 0.999511; 0.999924; 0.997141; 0.999557; 0.041668; 0.219203; 0.007191; 0.044242; 0.967268; 0.994735; 0.834490; 0.970675)";0.322171767522
323;"(1.073010; -4.221995; 6.561071; -1.764837; 1.857189)";"(0.744946; 0.949834; 0.337361; 0.756754; 0.999515; 0.999925; 0.997157; 0.999560; 0.041519; 0.219007; 0.007146; 0.044084; 0.967386; 0.994768; 0.834639; 0.970779)";0.321530011534
324;"(1.074180; -4.226879; 6.568471; -1.767498; 1.859795)";"(0.745169; 0.950013; 0.337021; 0.756967; 0.999519; 0.999926; 0.997174; 0.999564; 0.041371; 0.218812; 0.007101; 0.043926; 0.967503; 0.994801; 0.834787; 0.970882)";0.320890859762
325;"(1.075347; -4.231753; 6.575855; -1.770154; 1.862396)";"(0.745391; 0.950191; 0.336682; 0.757179; 0.999524; 0.999927; 0.997191; 0.999568; 0.041223; 0.218618; 0.007057; 0.043770; 0.967620; 0.994833; 0.834935; 0.970984)";0.320254294316
326;"(1.076513; -4.236618; 6.583225; -1.772804; 1.864991)";"(0.745613; 0.950368; 0.336344; 0.757390; 0.999528; 0.999928; 0.997207; 0.999571; 0.041076; 0.218424; 0.007013; 0.043614; 0.967736; 0.994866; 0.835083; 0.971086)";0.319620297491
327;"(1.077677; -4.241474; 6.590580; -1.775449; 1.867581)";"(0.745834; 0.950544; 0.336007; 0.757601; 0.999532; 0.999928; 0.997224; 0.999575; 0.040931; 0.218231; 0.006969; 0.043459; 0.967852; 0.994898; 0.835230; 0.971187)";0.318988851764
328;"(1.078838; -4.246320; 6.597920; -1.778088; 1.870166)";"(0.746054; 0.950720; 0.335671; 0.757811; 0.999536; 0.999929; 0.997240; 0.999579; 0.040785; 0.218038; 0.006925; 0.043305; 0.967967; 0.994930; 0.835377; 0.971288)";0.318359939787
329;"(1.079998; -4.251156; 6.605245; -1.780722; 1.872746)";"(0.746274; 0.950894; 0.335336; 0.758021; 0.999540; 0.999930; 0.997256; 0.999582; 0.040641; 0.217845; 0.006882; 0.043152; 0.968081; 0.994961; 0.835523; 0.971389)";0.317733544391
330;"(1.081155; -4.255983; 6.612556; -1.783350; 1.875320)";"(0.746494; 0.951067; 0.335002; 0.758230; 0.999543; 0.999931; 0.997272; 0.999586; 0.040498; 0.217654; 0.006840; 0.043000; 0.968195; 0.994992; 0.835669; 0.971488)";0.317109648579
331;"(1.082311; -4.260801; 6.619852; -1.785973; 1.877889)";"(0.746713; 0.951240; 0.334669; 0.758439; 0.999547; 0.999932; 0.997288; 0.999589; 0.040355; 0.217462; 0.006797; 0.042849; 0.968308; 0.995023; 0.835815; 0.971587)";0.316488235527
332;"(1.083464; -4.265610; 6.627134; -1.788591; 1.880453)";"(0.746931; 0.951411; 0.334336; 0.758648; 0.999551; 0.999932; 0.997303; 0.999592; 0.040213; 0.217271; 0.006755; 0.042698; 0.968420; 0.995054; 0.835960; 0.971686)";0.315869288576
333;"(1.084616; -4.270409; 6.634401; -1.791203; 1.883012)";"(0.747149; 0.951582; 0.334005; 0.758856; 0.999555; 0.999933; 0.997319; 0.999596; 0.040071; 0.217081; 0.006714; 0.042548; 0.968532; 0.995085; 0.836105; 0.971784)";0.315252791239
334;"(1.085765; -4.275199; 6.641653; -1.793810; 1.885565)";"(0.747366; 0.951751; 0.333674; 0.759063; 0.999559; 0.999934; 0.997335; 0.999599; 0.039931; 0.216891; 0.006672; 0.042399; 0.968643; 0.995115; 0.836249; 0.971882)";0.314638727189
335;"(1.086913; -4.279980; 6.648892; -1.796412; 1.888114)";"(0.747583; 0.951920; 0.333345; 0.759270; 0.999562; 0.999934; 0.997350; 0.999603; 0.039791; 0.216702; 0.006631; 0.042251; 0.968754; 0.995145; 0.836393; 0.971979)";0.314027080264
336;"(1.088059; -4.284752; 6.656116; -1.799009; 1.890657)";"(0.747800; 0.952088; 0.333016; 0.759477; 0.999566; 0.999935; 0.997365; 0.999606; 0.039652; 0.216513; 0.006591; 0.042103; 0.968864; 0.995175; 0.836537; 0.972076)";0.313417834461
337;"(1.089202; -4.289515; 6.663326; -1.801600; 1.893195)";"(0.748016; 0.952255; 0.332689; 0.759683; 0.999569; 0.999936; 0.997380; 0.999609; 0.039514; 0.216324; 0.006550; 0.041956; 0.968973; 0.995204; 0.836680; 0.972172)";0.312810973934
338;"(1.090344; -4.294269; 6.670521; -1.804186; 1.895728)";"(0.748231; 0.952421; 0.332362; 0.759889; 0.999573; 0.999937; 0.997395; 0.999612; 0.039376; 0.216136; 0.006510; 0.041810; 0.969082; 0.995233; 0.836823; 0.972267)";0.312206482996
339;"(1.091484; -4.299014; 6.677703; -1.806767; 1.898256)";"(0.748446; 0.952587; 0.332036; 0.760094; 0.999577; 0.999937; 0.997410; 0.999615; 0.039240; 0.215949; 0.006470; 0.041665; 0.969190; 0.995262; 0.836965; 0.972362)";0.31160434611
340;"(1.092621; -4.303750; 6.684871; -1.809343; 1.900779)";"(0.748661; 0.952751; 0.331711; 0.760299; 0.999580; 0.999938; 0.997425; 0.999619; 0.039103; 0.215762; 0.006431; 0.041521; 0.969298; 0.995291; 0.837107; 0.972457)";0.311004547893
341;"(1.093757; -4.308476; 6.692025; -1.811914; 1.903297)";"(0.748875; 0.952915; 0.331387; 0.760503; 0.999584; 0.999939; 0.997440; 0.999622; 0.038968; 0.215575; 0.006392; 0.041377; 0.969405; 0.995320; 0.837249; 0.972551)";0.310407073113
342;"(1.094891; -4.313195; 6.699164; -1.814479; 1.905810)";"(0.749089; 0.953078; 0.331064; 0.760707; 0.999587; 0.999939; 0.997454; 0.999625; 0.038833; 0.215389; 0.006353; 0.041234; 0.969512; 0.995348; 0.837390; 0.972644)";0.309811906682
343;"(1.096023; -4.317904; 6.706290; -1.817040; 1.908318)";"(0.749302; 0.953240; 0.330741; 0.760910; 0.999590; 0.999940; 0.997469; 0.999628; 0.038699; 0.215203; 0.006315; 0.041092; 0.969618; 0.995376; 0.837531; 0.972738)";0.309219033663
344;"(1.097153; -4.322604; 6.713403; -1.819595; 1.910821)";"(0.749514; 0.953401; 0.330420; 0.761113; 0.999594; 0.999941; 0.997483; 0.999631; 0.038566; 0.215018; 0.006277; 0.040951; 0.969723; 0.995404; 0.837672; 0.972830)";0.308628439258
345;"(1.098282; -4.327296; 6.720501; -1.822146; 1.913320)";"(0.749726; 0.953561; 0.330099; 0.761315; 0.999597; 0.999941; 0.997497; 0.999634; 0.038434; 0.214833; 0.006239; 0.040810; 0.969828; 0.995432; 0.837812; 0.972922)";0.308040108816
346;"(1.099408; -4.331979; 6.727586; -1.824691; 1.915813)";"(0.749938; 0.953720; 0.329779; 0.761517; 0.999600; 0.999942; 0.997511; 0.999637; 0.038302; 0.214649; 0.006201; 0.040670; 0.969932; 0.995459; 0.837952; 0.973014)";0.307454027822
347;"(1.100532; -4.336653; 6.734658; -1.827232; 1.918302)";"(0.750149; 0.953879; 0.329461; 0.761719; 0.999604; 0.999942; 0.997526; 0.999640; 0.038171; 0.214465; 0.006164; 0.040531; 0.970036; 0.995487; 0.838092; 0.973105)";0.306870181903
348;"(1.101655; -4.341319; 6.741716; -1.829767; 1.920785)";"(0.750360; 0.954037; 0.329143; 0.761920; 0.999607; 0.999943; 0.997539; 0.999643; 0.038040; 0.214282; 0.006127; 0.040392; 0.970139; 0.995514; 0.838231; 0.973196)";0.306288556822
349;"(1.102776; -4.345976; 6.748760; -1.832298; 1.923264)";"(0.750570; 0.954194; 0.328825; 0.762121; 0.999610; 0.999944; 0.997553; 0.999646; 0.037910; 0.214099; 0.006090; 0.040255; 0.970242; 0.995541; 0.838370; 0.973286)";0.305709138475
350;"(1.103895; -4.350625; 6.755792; -1.834823; 1.925738)";"(0.750780; 0.954350; 0.328509; 0.762321; 0.999613; 0.999944; 0.997567; 0.999649; 0.037781; 0.213917; 0.006054; 0.040117; 0.970344; 0.995567; 0.838508; 0.973376)";0.305131912894
351;"(1.105012; -4.355265; 6.762809; -1.837344; 1.928207)";"(0.750989; 0.954506; 0.328194; 0.762521; 0.999616; 0.999945; 0.997581; 0.999651; 0.037653; 0.213735; 0.006018; 0.039981; 0.970445; 0.995594; 0.838646; 0.973465)";0.304556866242
352;"(1.106127; -4.359896; 6.769814; -1.839860; 1.930672)";"(0.751198; 0.954660; 0.327879; 0.762720; 0.999619; 0.999945; 0.997594; 0.999654; 0.037525; 0.213553; 0.005982; 0.039845; 0.970546; 0.995620; 0.838784; 0.973554)";0.303983984811
353;"(1.107240; -4.364519; 6.776805; -1.842371; 1.933132)";"(0.751406; 0.954814; 0.327565; 0.762919; 0.999623; 0.999946; 0.997608; 0.999657; 0.037398; 0.213372; 0.005947; 0.039710; 0.970647; 0.995646; 0.838921; 0.973642)";0.303413255022
354;"(1.108352; -4.369134; 6.783784; -1.844877; 1.935587)";"(0.751614; 0.954967; 0.327252; 0.763117; 0.999626; 0.999947; 0.997621; 0.999660; 0.037271; 0.213191; 0.005911; 0.039576; 0.970747; 0.995672; 0.839058; 0.973730)";0.302844663424
355;"(1.109462; -4.373741; 6.790749; -1.847378; 1.938037)";"(0.751822; 0.955119; 0.326940; 0.763315; 0.999629; 0.999947; 0.997634; 0.999662; 0.037145; 0.213011; 0.005876; 0.039442; 0.970846; 0.995697; 0.839195; 0.973817)";0.302278196688
356;"(1.110570; -4.378339; 6.797701; -1.849875; 1.940483)";"(0.752029; 0.955271; 0.326629; 0.763513; 0.999632; 0.999948; 0.997647; 0.999665; 0.037020; 0.212831; 0.005842; 0.039310; 0.970945; 0.995722; 0.839331; 0.973904)";0.301713841612
357;"(1.111676; -4.382928; 6.804640; -1.852367; 1.942924)";"(0.752235; 0.955422; 0.326319; 0.763710; 0.999635; 0.999948; 0.997660; 0.999668; 0.036895; 0.212652; 0.005807; 0.039177; 0.971043; 0.995748; 0.839467; 0.973991)";0.301151585115
358;"(1.112780; -4.387510; 6.811566; -1.854854; 1.945360)";"(0.752441; 0.955572; 0.326009; 0.763907; 0.999637; 0.999949; 0.997673; 0.999670; 0.036772; 0.212473; 0.005773; 0.039046; 0.971141; 0.995773; 0.839603; 0.974077)";0.300591414236
359;"(1.113883; -4.392083; 6.818480; -1.857336; 1.947792)";"(0.752647; 0.955721; 0.325700; 0.764103; 0.999640; 0.999949; 0.997686; 0.999673; 0.036648; 0.212294; 0.005739; 0.038915; 0.971239; 0.995797; 0.839738; 0.974163)";0.300033316132
360;"(1.114983; -4.396648; 6.825380; -1.859814; 1.950219)";"(0.752852; 0.955869; 0.325392; 0.764299; 0.999643; 0.999950; 0.997699; 0.999676; 0.036526; 0.212116; 0.005706; 0.038785; 0.971336; 0.995822; 0.839873; 0.974248)";0.299477278081
361;"(1.116082; -4.401205; 6.832268; -1.862287; 1.952641)";"(0.753057; 0.956017; 0.325085; 0.764494; 0.999646; 0.999950; 0.997711; 0.999678; 0.036403; 0.211938; 0.005672; 0.038655; 0.971432; 0.995847; 0.840008; 0.974333)";0.298923287474
362;"(1.117180; -4.405753; 6.839143; -1.864755; 1.955059)";"(0.753261; 0.956164; 0.324779; 0.764689; 0.999649; 0.999951; 0.997724; 0.999681; 0.036282; 0.211761; 0.005639; 0.038526; 0.971528; 0.995871; 0.840142; 0.974417)";0.298371331819
363;"(1.118275; -4.410294; 6.846006; -1.867219; 1.957473)";"(0.753465; 0.956311; 0.324473; 0.764884; 0.999652; 0.999951; 0.997736; 0.999683; 0.036161; 0.211584; 0.005606; 0.038398; 0.971623; 0.995895; 0.840276; 0.974501)";0.297821398735
364;"(1.119369; -4.414827; 6.852856; -1.869678; 1.959882)";"(0.753669; 0.956456; 0.324169; 0.765078; 0.999654; 0.999952; 0.997749; 0.999686; 0.036041; 0.211408; 0.005573; 0.038270; 0.971718; 0.995919; 0.840410; 0.974585)";0.297273475954
365;"(1.120461; -4.419351; 6.859693; -1.872132; 1.962286)";"(0.753872; 0.956601; 0.323865; 0.765272; 0.999657; 0.999952; 0.997761; 0.999688; 0.035921; 0.211232; 0.005541; 0.038143; 0.971813; 0.995942; 0.840543; 0.974668)";0.296727551321
366;"(1.121551; -4.423868; 6.866518; -1.874582; 1.964686)";"(0.754074; 0.956745; 0.323561; 0.765465; 0.999660; 0.999953; 0.997773; 0.999691; 0.035802; 0.211056; 0.005509; 0.038017; 0.971907; 0.995966; 0.840676; 0.974750)";0.296183612786
367;"(1.122639; -4.428376; 6.873330; -1.877028; 1.967082)";"(0.754276; 0.956889; 0.323259; 0.765658; 0.999663; 0.999953; 0.997785; 0.999693; 0.035684; 0.210881; 0.005477; 0.037891; 0.972000; 0.995989; 0.840808; 0.974833)";0.29564164841
368;"(1.123726; -4.432877; 6.880131; -1.879468; 1.969473)";"(0.754478; 0.957031; 0.322957; 0.765851; 0.999665; 0.999954; 0.997797; 0.999695; 0.035566; 0.210706; 0.005445; 0.037766; 0.972093; 0.996012; 0.840941; 0.974915)";0.295101646359
369;"(1.124811; -4.437370; 6.886918; -1.881905; 1.971859)";"(0.754679; 0.957173; 0.322657; 0.766043; 0.999668; 0.999954; 0.997809; 0.999698; 0.035449; 0.210532; 0.005414; 0.037641; 0.972186; 0.996035; 0.841073; 0.974996)";0.294563594906
370;"(1.125895; -4.441855; 6.893694; -1.884336; 1.974241)";"(0.754880; 0.957315; 0.322356; 0.766234; 0.999670; 0.999955; 0.997821; 0.999700; 0.035332; 0.210358; 0.005383; 0.037517; 0.972278; 0.996058; 0.841204; 0.975077)";0.294027482426
371;"(1.126976; -4.446332; 6.900457; -1.886764; 1.976619)";"(0.755080; 0.957455; 0.322057; 0.766426; 0.999673; 0.999955; 0.997833; 0.999702; 0.035216; 0.210184; 0.005352; 0.037394; 0.972370; 0.996081; 0.841336; 0.975158)";0.2934932974
372;"(1.128056; -4.450801; 6.907208; -1.889186; 1.978993)";"(0.755280; 0.957595; 0.321759; 0.766617; 0.999676; 0.999956; 0.997845; 0.999705; 0.035101; 0.210011; 0.005321; 0.037272; 0.972461; 0.996103; 0.841467; 0.975238)";0.292961028407
373;"(1.129134; -4.455262; 6.913947; -1.891605; 1.981362)";"(0.755480; 0.957735; 0.321461; 0.766807; 0.999678; 0.999956; 0.997856; 0.999707; 0.034986; 0.209839; 0.005291; 0.037149; 0.972551; 0.996125; 0.841597; 0.975318)";0.292430664129
374;"(1.130211; -4.459716; 6.920674; -1.894019; 1.983726)";"(0.755679; 0.957873; 0.321164; 0.766997; 0.999681; 0.999957; 0.997868; 0.999709; 0.034871; 0.209666; 0.005260; 0.037028; 0.972642; 0.996148; 0.841728; 0.975397)";0.291902193346
375;"(1.131286; -4.464162; 6.927389; -1.896428; 1.986087)";"(0.755878; 0.958011; 0.320868; 0.767187; 0.999683; 0.999957; 0.997879; 0.999712; 0.034757; 0.209494; 0.005230; 0.036907; 0.972731; 0.996170; 0.841858; 0.975476)";0.291375604937
376;"(1.132359; -4.468601; 6.934092; -1.898833; 1.988443)";"(0.756076; 0.958148; 0.320572; 0.767376; 0.999685; 0.999957; 0.997891; 0.999714; 0.034644; 0.209323; 0.005201; 0.036787; 0.972821; 0.996191; 0.841987; 0.975555)";0.290850887877
377;"(1.133430; -4.473031; 6.940783; -1.901234; 1.990795)";"(0.756274; 0.958285; 0.320278; 0.767565; 0.999688; 0.999958; 0.997902; 0.999716; 0.034532; 0.209152; 0.005171; 0.036667; 0.972910; 0.996213; 0.842117; 0.975633)";0.290328031238
378;"(1.134500; -4.477454; 6.947463; -1.903630; 1.993142)";"(0.756471; 0.958421; 0.319984; 0.767753; 0.999690; 0.999958; 0.997913; 0.999718; 0.034419; 0.208981; 0.005142; 0.036548; 0.972998; 0.996234; 0.842246; 0.975711)";0.289807024185
379;"(1.135568; -4.481870; 6.954130; -1.906022; 1.995486)";"(0.756668; 0.958556; 0.319690; 0.767941; 0.999693; 0.999959; 0.997924; 0.999720; 0.034308; 0.208811; 0.005113; 0.036430; 0.973086; 0.996256; 0.842375; 0.975789)";0.289287855978
380;"(1.136635; -4.486278; 6.960786; -1.908410; 1.997825)";"(0.756865; 0.958691; 0.319398; 0.768129; 0.999695; 0.999959; 0.997935; 0.999722; 0.034197; 0.208641; 0.005084; 0.036312; 0.973174; 0.996277; 0.842503; 0.975866)";0.288770515968
381;"(1.137700; -4.490679; 6.967430; -1.910793; 2.000159)";"(0.757061; 0.958824; 0.319106; 0.768316; 0.999697; 0.999959; 0.997946; 0.999725; 0.034086; 0.208471; 0.005055; 0.036194; 0.973261; 0.996298; 0.842631; 0.975943)";0.288254993601
382;"(1.138763; -4.495072; 6.974062; -1.913172; 2.002490)";"(0.757257; 0.958958; 0.318815; 0.768503; 0.999700; 0.999960; 0.997957; 0.999727; 0.033976; 0.208302; 0.005026; 0.036078; 0.973348; 0.996319; 0.842759; 0.976019)";0.287741278408
383;"(1.139824; -4.499457; 6.980683; -1.915547; 2.004816)";"(0.757452; 0.959090; 0.318525; 0.768690; 0.999702; 0.999960; 0.997968; 0.999729; 0.033867; 0.208133; 0.004998; 0.035961; 0.973434; 0.996339; 0.842887; 0.976095)";0.287229360014
384;"(1.140884; -4.503835; 6.987292; -1.917918; 2.007139)";"(0.757647; 0.959222; 0.318235; 0.768876; 0.999704; 0.999961; 0.997979; 0.999731; 0.033758; 0.207965; 0.004970; 0.035846; 0.973520; 0.996360; 0.843014; 0.976171)";0.28671922813
385;"(1.141943; -4.508206; 6.993889; -1.920284; 2.009457)";"(0.757842; 0.959354; 0.317946; 0.769061; 0.999707; 0.999961; 0.997989; 0.999733; 0.033650; 0.207796; 0.004942; 0.035731; 0.973605; 0.996380; 0.843141; 0.976246)";0.286210872554
386;"(1.142999; -4.512569; 7.000475; -1.922646; 2.011771)";"(0.758036; 0.959485; 0.317658; 0.769247; 0.999709; 0.999961; 0.998000; 0.999735; 0.033542; 0.207629; 0.004914; 0.035616; 0.973690; 0.996401; 0.843268; 0.976321)";0.285704283172
387;"(1.144055; -4.516925; 7.007050; -1.925004; 2.014081)";"(0.758230; 0.959615; 0.317371; 0.769432; 0.999711; 0.999962; 0.998011; 0.999737; 0.033435; 0.207462; 0.004887; 0.035502; 0.973775; 0.996421; 0.843394; 0.976396)";0.285199449953
388;"(1.145108; -4.521274; 7.013613; -1.927358; 2.016386)";"(0.758423; 0.959744; 0.317084; 0.769616; 0.999713; 0.999962; 0.998021; 0.999739; 0.033328; 0.207295; 0.004860; 0.035389; 0.973859; 0.996441; 0.843520; 0.976470)";0.284696362953
389;"(1.146160; -4.525615; 7.020165; -1.929707; 2.018688)";"(0.758616; 0.959873; 0.316798; 0.769800; 0.999715; 0.999963; 0.998031; 0.999741; 0.033221; 0.207128; 0.004833; 0.035276; 0.973943; 0.996460; 0.843646; 0.976544)";0.28419501231
390;"(1.147210; -4.529949; 7.026705; -1.932053; 2.020986)";"(0.758809; 0.960001; 0.316513; 0.769984; 0.999718; 0.999963; 0.998042; 0.999743; 0.033116; 0.206962; 0.004806; 0.035163; 0.974026; 0.996480; 0.843771; 0.976617)";0.283695388243
391;"(1.148259; -4.534276; 7.033234; -1.934394; 2.023279)";"(0.759001; 0.960129; 0.316228; 0.770168; 0.999720; 0.999963; 0.998052; 0.999745; 0.033010; 0.206796; 0.004779; 0.035051; 0.974109; 0.996499; 0.843896; 0.976690)";0.283197481056
392;"(1.149306; -4.538596; 7.039752; -1.936731; 2.025569)";"(0.759193; 0.960256; 0.315944; 0.770351; 0.999722; 0.999964; 0.998062; 0.999747; 0.032906; 0.206631; 0.004753; 0.034940; 0.974192; 0.996519; 0.844021; 0.976763)";0.28270128113
393;"(1.150352; -4.542908; 7.046259; -1.939064; 2.027854)";"(0.759384; 0.960383; 0.315661; 0.770533; 0.999724; 0.999964; 0.998072; 0.999748; 0.032801; 0.206466; 0.004726; 0.034829; 0.974274; 0.996538; 0.844146; 0.976836)";0.282206778929
394;"(1.151396; -4.547213; 7.052755; -1.941393; 2.030136)";"(0.759575; 0.960509; 0.315379; 0.770715; 0.999726; 0.999964; 0.998082; 0.999750; 0.032698; 0.206301; 0.004700; 0.034719; 0.974356; 0.996557; 0.844270; 0.976908)";0.281713964992
395;"(1.152438; -4.551512; 7.059240; -1.943718; 2.032413)";"(0.759766; 0.960634; 0.315097; 0.770897; 0.999728; 0.999965; 0.998092; 0.999752; 0.032594; 0.206137; 0.004674; 0.034609; 0.974437; 0.996576; 0.844394; 0.976980)";0.28122282994
396;"(1.153479; -4.555803; 7.065713; -1.946039; 2.034687)";"(0.759956; 0.960758; 0.314816; 0.771079; 0.999730; 0.999965; 0.998102; 0.999754; 0.032492; 0.205973; 0.004649; 0.034500; 0.974518; 0.996595; 0.844518; 0.977051)";0.280733364468
397;"(1.154518; -4.560087; 7.072176; -1.948356; 2.036956)";"(0.760146; 0.960883; 0.314536; 0.771260; 0.999732; 0.999965; 0.998112; 0.999756; 0.032389; 0.205809; 0.004623; 0.034392; 0.974599; 0.996614; 0.844641; 0.977122)";0.280245559349
398;"(1.155556; -4.564364; 7.078627; -1.950669; 2.039222)";"(0.760335; 0.961006; 0.314256; 0.771441; 0.999734; 0.999966; 0.998122; 0.999758; 0.032288; 0.205646; 0.004598; 0.034283; 0.974679; 0.996632; 0.844764; 0.977193)";0.279759405431
399;"(1.156592; -4.568634; 7.085068; -1.952977; 2.041484)";"(0.760524; 0.961129; 0.313977; 0.771621; 0.999736; 0.999966; 0.998131; 0.999759; 0.032186; 0.205483; 0.004572; 0.034176; 0.974759; 0.996651; 0.844887; 0.977263)";0.279274893635
400;"(1.157627; -4.572896; 7.091498; -1.955282; 2.043741)";"(0.760713; 0.961251; 0.313698; 0.771801; 0.999738; 0.999966; 0.998141; 0.999761; 0.032085; 0.205320; 0.004547; 0.034069; 0.974838; 0.996669; 0.845010; 0.977333)";0.278792014958
