epoch;W;Y;E
0;"(0.000000; 0.000000; 0.300000; 0.000000; 0.300000)";"(1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1)";4
1;"(-0.300000; -0.300000; 0.600000; 0.000000; 0.300000)";"(1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 1; 1; 1)";5
2;"(0.000000; -0.300000; 0.900000; 0.000000; 0.300000)";"(0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1)";5
3;"(0.000000; -0.300000; 1.200000; 0.000000; 0.300000)";"(1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1)";4
4;"(-0.300000; -0.600000; 1.200000; 0.000000; 0.300000)";"(1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1)";3
5;"(-0.300000; -0.900000; 1.200000; 0.000000; 0.300000)";"(0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1)";4
6;"(0.000000; -0.900000; 1.200000; 0.000000; 0.600000)";"(0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1)";3
7;"(0.000000; -0.600000; 1.500000; 0.000000; 0.600000)";"(1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1)";2
8;"(-0.300000; -0.600000; 1.500000; -0.300000; 0.600000)";"(1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1)";1
9;"(-0.300000; -0.900000; 1.500000; -0.300000; 0.300000)";"(0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1)";2
10;"(0.000000; -0.900000; 1.500000; -0.300000; 0.300000)";"(0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1)";1
11;"(0.000000; -0.900000; 1.500000; -0.300000; 0.300000)";"(1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1)";0
